time,ax,ay,az,wx,wy,wz
2025-01-27T11:04:14.034Z,-0.7802,0.7388,0.0213,0.0107,-0.0128,1.0954
2025-01-27T11:04:14.044Z,-1.1325,0.4468,0.1545,0.0107,-0.0480,1.1188
2025-01-27T11:04:14.054Z,1.2224,-0.8166,-0.0829,0.0055,0.0276,0.6002
2025-01-27T11:04:14.064Z,0.5375,-0.0280,-0.1388,0.0092,0.0522,0.8628
2025-01-27T11:04:14.074Z,-1.3658,0.7663,0.1680,0.0085,-0.0347,1.1909
2025-01-27T11:04:14.084Z,0.2796,-0.4305,0.0313,0.0113,-0.0298,0.7032
2025-01-27T11:04:14.094Z,1.4907,-0.7468,-0.1979,0.0058,0.0829,0.6236
2025-01-27T11:04:14.104Z,-0.9865,0.8332,0.0447,0.0032,-0.0257,1.0944
2025-01-27T11:04:14.114Z,-1.0123,0.3397,0.1492,0.0122,-0.0448,1.0706
2025-01-27T11:04:14.123Z,1.2940,-0.8119,-0.0955,0.0022,0.0432,0.6188
2025-01-27T11:04:14.135Z,0.2652,0.0928,-0.1337,0.0123,-0.0374,1.1277
2025-01-27T11:04:14.143Z,-1.1740,0.5550,0.1907,0.0123,-0.0374,1.1277
2025-01-27T11:04:14.155Z,0.2799,-0.2420,-0.0491,-0.0037,0.0514,0.6763
2025-01-27T11:04:14.164Z,1.1253,-0.6529,-0.1156,-0.0037,0.0514,0.6763
2025-01-27T11:04:14.174Z,-0.5914,0.4521,0.0371,0.0144,-0.0153,0.9297
2025-01-27T11:04:14.184Z,-0.7373,0.3698,0.0910,0.0001,-0.0024,0.8311
2025-01-27T11:04:14.193Z,0.4198,-0.1907,-0.0846,0.0001,-0.0024,0.8311
2025-01-27T11:04:14.205Z,0.6094,-0.4368,-0.0147,0.0150,0.0357,0.7663
2025-01-27T11:04:14.214Z,-0.4515,0.4177,0.0073,0.0012,-0.0420,0.9467
2025-01-27T11:04:14.223Z,-0.4929,0.2453,0.0311,0.0012,-0.0420,0.9467
2025-01-27T11:04:14.234Z,1.0730,-0.7991,-0.0309,0.0144,0.0250,0.8519
2025-01-27T11:04:14.244Z,0.1316,0.1836,-0.1110,0.0144,0.0250,0.8519
2025-01-27T11:04:14.255Z,-1.2171,0.6928,0.1419,0.0029,-0.0219,1.1783
2025-01-27T11:04:14.264Z,0.2190,-0.2230,-0.0144,0.0097,0.0567,0.6754
